OutputArea,EventCount
E00171795,1
E00172001,2
E00172072,1
E00172090,1
E00172093,1
E00172105,1
E00172133,1
E00172150,10
E00172172,1
E00172257,1
E00172407,1
E00172410,10
E00172473,4
E00172492,1
E00172499,5
E00172508,1
E00172561,1
E00172562,1
E00172567,25
E00172568,3
E00172570,3
E00172729,1
E00172745,1
E00172815,3
E00172917,8
E00172920,1
E00173036,2
E00173089,3
E00173318,1
E00173323,1
E00173494,1
E00173504,2
E00173520,1
E00173533,3
E00173540,4
E00173541,1
E00173552,4
E00173575,1
E00173632,3
E00173634,1
E00173839,4
E00173941,3
E00174049,4
E00174055,1
E00174105,1
E00174231,1
E00174240,1
E00174242,2
E00174275,2
E00174284,1
E00174294,3
E00174316,1
E00174334,1
E00174350,1
E00174445,2
E00174459,2
E00174484,2
E00174579,1
E00174653,23
E00174655,1
E00174659,21
E00174674,1
E00174679,6
E00174722,1
E00174753,3
E00174770,2
E00174772,28
E00174775,15
E00174786,1
E00174826,2
E00174882,6
E00174960,1
E00175017,1
E00175018,1
E00175180,1
E00175181,5
E00175182,1
E00175186,2
E00175189,1
E00175191,1
E00175193,4
E00175194,1
E00175196,1
E00175206,1
E00175208,31
E00175226,4
E00175250,18
E00175321,3
E00175513,1
E00175522,4
E00175550,1
E00175551,9
E00175553,5
E00175559,2
E00175574,1
E00175576,1
E00175614,5
E00175615,4
E00175629,2
E00175649,7
E00175652,8
E00175681,2
E00175708,2
E00175713,6
E00175760,1
E00175810,4
E00175812,24
E00175815,4
E00175817,2
E00175823,2
E00175827,4
E00175835,1
E00175843,2
E00175845,7
E00175846,10
E00175863,1
E00175912,2
E00175961,1
E00175962,4
E00175963,1
E00175989,4
E00175992,1
E00175998,2
E00176006,1
E00176027,3
E00176038,4
E00176046,5
E00176052,1
E00176058,2
E00176059,1
E00176062,1
E00176082,2
E00176158,1
E00176275,1
E00176276,12
E00176282,4
E00176301,1
E00176305,1
E00176308,9
E00176310,8
E00176312,1
E00176401,1
E00176456,5
E00176625,2
E00176633,1
E00176640,2
E00176656,1
E00176682,1
E00176683,1
E00176689,2
E00176690,7
E00176691,3
E00176713,1
E00176737,3
E00176740,1
E00176771,1
W00000374,1
W00000940,1
W00000945,1
W00001004,1
W00001335,1
W00001620,1
W00001990,1
W00002643,2
W00002739,1
W00002771,1
W00003999,1
W00004009,1
W00004551,1
W00004576,2
W00004880,1
W00005032,1
W00005550,1
W00005902,1
W00008558,1
W00008818,1
W00008912,3
W00009100,1
W00009117,1
W00009129,1
W00009154,2
W00009449,2
W00009592,1
W00009630,1
W00009740,1
W00009894,1
W00009982,2
W00009983,3
W00010115,2
W00010116,1
W00010117,10
W00010118,1
W00010127,7
W00010208,1
